page,upc,sku,title
1,,FIXTURE-A,Fixture Product A — full tier visibility
1,,FIXTURE-B,Fixture Product B — retail-only
1,,FIXTURE-C,Fixture Product C — case pack
1,860005034901,354010,Eyeganics Organics Tears Organic Tears .3 oz
1,856035001013,271010,"DEAD SEA WAREHOUSE, INC. Amazing Minerals Bath Salts Dead Sea Bath Salts 5 lbs"
1,050525555011,497226,Sai Baba Nag Champa Incense Sai Baba Nag Champa 15 gm
1,049056102016,600104,JR Liggetts Bar Shampoo Bar Shampoo Original Bar 3.5 oz
1,079565006215,025307,Ancient Secrets Nasal Cleansing Salt Salt Bag 8 oz
1,000370000051,164030,Eco-Dent Premium Oral Care Mouthwash Daily Rinse Sparkling Clean Mint 8 oz
1,9327693006883,281010,Sukin Signature Hair Care Hydrating Shampoo 16.9 oz
1,079565000985,140090,Chandrika Ayurvedic Soap Soap Sandalwood Soap 75 gm
1,850039549595,326071,ESW BEAUTY ESW BEAUTY LIP SMOOTHIE LIP TREATMENT Guava Mango .51 oz
2,9327693006890,281011,Sukin Signature Hair Care Hydrating Conditioner 16.9 oz
2,000360000016,164024,Eco-Dent SpecialCare Toothpowders ExtraBrite
2,9327693006920,281018,Sukin Signature Hair Care Natural Balance Shampoo 16.9 oz
2,666582002513,350067,KOOSHOO Twist Headbands Everyday Headband Pink Mist
2,810105790627,446009,Karuna Skin Facial Care Balancing Cleanser Mini 50 ml
2,050525555059,497230,Sai Baba Nag Champa Incense Sai Baba Nag Champa 100 gr
2,856035001044,271020,"DEAD SEA WAREHOUSE, INC. Amazing Minerals Body &amp; Facial Care Bars Original Face &amp; Body Care Bar 3.5 oz"
2,666582002902,350047,KOOSHOO Twist Headbands Gather Headband Black
2,9327693000294,281060,Sukin Signature Face Moisturiser 4.23 oz
2,9327693000317,281062,Sukin Signature Face Foaming Cleanser 4.23 oz
2,666582002445,350049,KOOSHOO Plastic Free Hair Accessories Scrunchies All Black 2 pk
2,666582002483,350043,KOOSHOO Plastic Free Hair Accessories Mini &amp; Midi Hair Ties Black 4 pk
3,727616171169,498120,Aztec Secret - Bentonite Clay Bentonite Clay Bentonite Clay 1#
3,000360000061,164010,Eco-Dent DailyCare Toothpowders Original Mint 2 oz Bottle
3,850039549601,326072,ESW BEAUTY ESW BEAUTY LIP SMOOTHIE LIP TREATMENT Vanilla Almond Butter .51 oz
3,666582002322,350048,KOOSHOO Plastic Free Hair Accessories Scrunchies Pink Beet 2 pk
3,850039549588,326070,ESW BEAUTY ESW BEAUTY LIP SMOOTHIE LIP TREATMENT White Pitaya Coconut .51 oz
3,9327693006906,281014,Sukin Signature Hair Care Volumising Shampoo 16.9 oz
3,850011136362,743022,WOODEN SPOON HERBS WOODEN SPOON HERBS TINCTURES Magic Magnesium 3.7 oz
3,050525557152,497232,Sai Baba Nag Champa Incense Sai Baba Nag Champa Incense Cones 12 ct
3,864276000382,336048,SHEABRAND Lip Balms Peppermint .28 oz
3,9327693000430,281040,Sukin Signature Body Botanical Body Wash 16.9 oz
3,850011136386,743030,WOODEN SPOON HERBS WOODEN SPOON HERBS POWDERS Lemon Ginger Immune Toddy Sachet 10 ct
3,079565005133,025300,Ancient Secrets Nasal Cleansing (Neti) Pot Nasal Cleansing Pot
4,850011136492,743023,WOODEN SPOON HERBS WOODEN SPOON HERBS TINCTURES Magic Magnesium Sachets 10 ct
4,9327693006937,281019,Sukin Signature Hair Care Natural Balance Conditioner 16.9 oz
4,666582002377,350052,KOOSHOO Plastic Free Hair Accessories Bracelet Hair Ties Wanderlust 3 pk
4,860012137695,806011,Earth Harbor Naturals Facial Care TREASURE Barrier Boost Glazing Milk 2 oz
4,666582002599,350044,KOOSHOO Plastic Free Hair Accessories Crochet Hair Ties Hot Jam 3 pk
4,9327693000508,281076,Sukin Signature Face Moisture Restoring Night Cream 4.06 oz
4,5060571720542,853020,UPCIRCLE BEAUTY Skincare Face Moisturizer with Argan Powder 1.7 oz
4,5053250018580,639012,F.E.T.E. Adult Bamboo Toothbrush Blue Sky Soft
4,860008839022,886020,Flora Flora Hair Care Silk Conditioner 1.9 oz Bar
4,850006541072,806022,Earth Harbor Naturals Facial Care Citrine Sea Resurfacing Cleanse Polish 2 oz
4,860008839015,886012,Flora Flora Hair Care Hydrating Shampoo Bar 2 oz
4,860008839008,886011,Flora Flora Hair Care Clarifying Shampoo Bar 2 oz
5,9327693004438,281098,Sukin Super Greens Face Recovery Serum 1.01 oz
5,049056102023,600101,JR Liggetts Bar Shampoo Bar Shampoo Herbal Bar 3.5 oz
5,9327693000607,281068,Sukin Signature Face Revitalising Facial Scrub 4.23 oz
5,666582002292,350051,KOOSHOO Plastic Free Hair Accessories Satin Bow Scrunchie Black
5,628110868411,350060,KOOSHOO Twist Headbands Jet Black Twist Headband
5,860008839039,886010,Flora Flora Hair Care Scalp Soothe Shampoo Bar 1.9 oz
5,9327693000423,281038,Sukin Signature Body Hydrating Body Lotion 16.9 oz
5,5053250018597,639013,F.E.T.E. Adult Bamboo Toothbrush Tickled Pink Soft
5,5053250025342,639018,F.E.T.E. Adult Bamboo Toothbrush Cha-Cha Charcoal
5,198715755114,806009,Earth Harbor Naturals Facial Care Marina Brightening Ampoule 20 ml
5,9327693011818,281063,Sukin Signature Face Natural Cleansing Oil 4.23 oz
5,9327693004421,281092,Sukin Super Greens Face Detoxifying Facial Scrub 4.23 oz
6,364031300103,546101,Bioforce USA Dental Products Secure Denture Adhesive 1.4 oz
